1, 0.007
2, 0.008
3, 0.009
4, 0.010
5, 0.011
6, 0.016
7, 0.020
8, 0.030
9, 0.035
10, 0.040
11, 0.045
12, 0.050
13, 0.055
14, 0.060
15, 0.065
16, 0.070
17, 0.075
18, 0.080
19, 0.085
20, 0.101
21, 0.119
22, 0.141
23, 0.168
24, 0.198
25, 0.236
30, 0.513
35, 1.521
40, 2.950
45, 5.304
50, 9.066
60, 23.402
70, 52.373
80, 1*60 + 45.754
90, 3*60 + 20.280
100, 6*60 + 0.541
125, 20*60 + 40.917
150, 58*60 + 42.216
200, 635*60 + 55.893
